operator,kwargs,input_shape,cpu_time,gpu_time
Conv2d,"in_channels=128,kernel_size=5,out_channels=8,stride=1","(8, 128, 256, 256)",13.061ms,12.756ms
Conv2d,"in_channels=128,kernel_size=5,out_channels=8,stride=1","(8, 128, 640, 640)",106.329ms,97.075ms
Conv2d,"in_channels=128,kernel_size=5,out_channels=8,stride=2","(1, 128, 96, 96)",0.59ms,0.221ms
Conv2d,"in_channels=128,kernel_size=5,out_channels=8,stride=2","(1, 128, 256, 256)",1.154ms,0.762ms
Conv2d,"in_channels=128,kernel_size=5,out_channels=8,stride=2","(1, 128, 640, 640)",4.904ms,4.513ms
Conv2d,"in_channels=128,kernel_size=5,out_channels=8,stride=2","(8, 128, 96, 96)",1.196ms,0.807ms
Conv2d,"in_channels=128,kernel_size=5,out_channels=8,stride=2","(8, 128, 256, 256)",6.030ms,5.663ms
Conv2d,"in_channels=128,kernel_size=5,out_channels=8,stride=2","(8, 128, 640, 640)",36.252ms,35.779ms
Conv2d,"in_channels=128,kernel_size=5,out_channels=32,stride=1","(1, 128, 96, 96)",5.231ms,4.899ms
Conv2d,"in_channels=128,kernel_size=5,out_channels=32,stride=1","(1, 128, 256, 256)",19.914ms,19.579ms
Conv2d,"in_channels=128,kernel_size=5,out_channels=32,stride=1","(1, 128, 640, 640)",11.139ms,10.677ms
Conv2d,"in_channels=128,kernel_size=5,out_channels=32,stride=1","(8, 128, 96, 96)",7.399ms,7.068ms
Conv2d,"in_channels=128,kernel_size=5,out_channels=32,stride=1","(8, 128, 256, 256)",27.539ms,27.205ms
Conv2d,"in_channels=128,kernel_size=5,out_channels=32,stride=1","(8, 128, 640, 640)",94.101ms,91.094ms
Conv2d,"in_channels=128,kernel_size=5,out_channels=32,stride=2","(1, 128, 96, 96)",0.764ms,0.277ms
Conv2d,"in_channels=128,kernel_size=5,out_channels=32,stride=2","(1, 128, 256, 256)",1.028ms,0.569ms
Conv2d,"in_channels=128,kernel_size=5,out_channels=32,stride=2","(1, 128, 640, 640)",3.108ms,2.642ms
Conv2d,"in_channels=128,kernel_size=5,out_channels=32,stride=2","(8, 128, 96, 96)",1.109ms,0.627ms
Conv2d,"in_channels=128,kernel_size=5,out_channels=32,stride=2","(8, 128, 256, 256)",3.925ms,3.404ms
Conv2d,"in_channels=128,kernel_size=5,out_channels=32,stride=2","(8, 128, 640, 640)",25.340ms,24.874ms
Conv2d,"in_channels=128,kernel_size=5,out_channels=64,stride=1","(1, 128, 96, 96)",10.073ms,9.793ms
Conv2d,"in_channels=128,kernel_size=5,out_channels=64,stride=1","(1, 128, 256, 256)",181.389ms,38.345ms
Conv2d,"in_channels=128,kernel_size=5,out_channels=64,stride=1","(1, 128, 640, 640)",20.513ms,19.994ms
Conv2d,"in_channels=128,kernel_size=5,out_channels=64,stride=1","(8, 128, 96, 96)",12.245ms,11.896ms
Conv2d,"in_channels=128,kernel_size=5,out_channels=64,stride=1","(8, 128, 256, 256)",145.183ms,48.589ms
Conv2d,"in_channels=128,kernel_size=5,out_channels=64,stride=1","(8, 128, 640, 640)",182.498ms,181.930ms
Conv2d,"in_channels=128,kernel_size=5,out_channels=64,stride=2","(1, 128, 96, 96)",0.858ms,0.309ms
Conv2d,"in_channels=128,kernel_size=5,out_channels=64,stride=2","(1, 128, 256, 256)",1.218ms,0.754ms
Conv2d,"in_channels=128,kernel_size=5,out_channels=64,stride=2","(1, 128, 640, 640)",4.752ms,4.279ms
Conv2d,"in_channels=128,kernel_size=5,out_channels=64,stride=2","(8, 128, 96, 96)",1.830ms,1.366ms
Conv2d,"in_channels=128,kernel_size=5,out_channels=64,stride=2","(8, 128, 256, 256)",10.733ms,10.232ms
Conv2d,"in_channels=128,kernel_size=5,out_channels=64,stride=2","(8, 128, 640, 640)",78.548ms,78.067ms
ReLU,inplace=True,"(1, 1, 96, 96)",0.299ms,0.002ms
ReLU,inplace=True,"(1, 4, 96, 96)",0.249ms,0.002ms
ReLU,inplace=True,"(1, 16, 96, 96)",0.251ms,0.002ms
ReLU,inplace=True,"(1, 64, 96, 96)",0.231ms,0.004ms
ReLU,inplace=True,"(1, 128, 96, 96)",0.281ms,0.017ms
ReLU,inplace=True,"(1, 1, 256, 256)",0.263ms,0.002ms
ReLU,inplace=True,"(1, 4, 256, 256)",0.254ms,0.002ms
ReLU,inplace=True,"(1, 16, 256, 256)",0.252ms,0.012ms
ReLU,inplace=True,"(1, 64, 256, 256)",0.339ms,0.083ms
ReLU,inplace=True,"(1, 128, 256, 256)",0.444ms,0.169ms
ReLU,inplace=True,"(1, 1, 640, 640)",0.27ms,0.003ms
ReLU,inplace=True,"(1, 4, 640, 640)",0.275ms,0.03ms
ReLU,inplace=True,"(1, 16, 640, 640)",0.341ms,0.132ms
ReLU,inplace=True,"(1, 64, 640, 640)",0.818ms,0.541ms
ReLU,inplace=True,"(1, 128, 640, 640)",1.360ms,1.084ms
ReLU,inplace=True,"(8, 1, 96, 96)",0.246ms,0.002ms
ReLU,inplace=True,"(8, 4, 96, 96)",0.251ms,0.003ms
ReLU,inplace=True,"(8, 16, 96, 96)",0.258ms,0.017ms
ReLU,inplace=True,"(8, 64, 96, 96)",0.326ms,0.093ms
ReLU,inplace=True,"(8, 128, 96, 96)",0.472ms,0.192ms
ReLU,inplace=True,"(8, 1, 256, 256)",0.23ms,0.004ms
ReLU,inplace=True,"(8, 4, 256, 256)",0.286ms,0.039ms
ReLU,inplace=True,"(8, 16, 256, 256)",0.447ms,0.17ms
ReLU,inplace=True,"(8, 64, 256, 256)",0.972ms,0.696ms
ReLU,inplace=True,"(8, 128, 256, 256)",1.714ms,1.396ms
ReLU,inplace=True,"(8, 1, 640, 640)",0.257ms,0.063ms
ReLU,inplace=True,"(8, 4, 640, 640)",0.519ms,0.268ms
ReLU,inplace=True,"(8, 16, 640, 640)",1.363ms,1.087ms
ReLU,inplace=True,"(8, 64, 640, 640)",4.634ms,4.284ms
ReLU,inplace=True,"(8, 128, 640, 640)",8.858ms,8.574ms
ReLU,inplace=True,"(32, 1, 96, 96)",0.266ms,0.003ms
ReLU,inplace=True,"(32, 4, 96, 96)",0.259ms,0.018ms
ReLU,inplace=True,"(32, 16, 96, 96)",0.33ms,0.093ms
ReLU,inplace=True,"(32, 64, 96, 96)",0.664ms,0.388ms
ReLU,inplace=True,"(32, 128, 96, 96)",1.056ms,0.778ms
ReLU,inplace=True,"(32, 1, 256, 256)",0.271ms,0.038ms
ReLU,inplace=True,"(32, 4, 256, 256)",0.427ms,0.17ms
ReLU,inplace=True,"(32, 16, 256, 256)",0.962ms,0.686ms
ReLU,inplace=True,"(32, 64, 256, 256)",3.058ms,2.784ms
ReLU,inplace=True,"(32, 128, 256, 256)",5.760ms,5.478ms
ReLU,inplace=True,"(32, 1, 640, 640)",0.539ms,0.266ms
ReLU,inplace=True,"(32, 4, 640, 640)",1.358ms,1.081ms
ReLU,inplace=True,"(32, 16, 640, 640)",4.615ms,4.334ms
ReLU,inplace=True,"(32, 64, 640, 640)",17.813ms,17.467ms
ReLU,inplace=True,"(32, 128, 640, 640)",35.293ms,34.941ms
LeakyReLU,inplace=True,"(1, 1, 96, 96)",0.283ms,0.002ms
LeakyReLU,inplace=True,"(1, 8, 96, 96)",0.245ms,0.002ms
LeakyReLU,inplace=True,"(1, 32, 96, 96)",0.293ms,0.002ms
LeakyReLU,inplace=True,"(1, 64, 96, 96)",0.227ms,0.003ms
LeakyReLU,inplace=True,"(1, 128, 96, 96)",0.252ms,0.017ms
LeakyReLU,inplace=True,"(1, 1, 256, 256)",0.237ms,0.002ms
LeakyReLU,inplace=True,"(1, 8, 256, 256)",0.264ms,0.004ms
LeakyReLU,inplace=True,"(1, 32, 256, 256)",0.308ms,0.039ms
LeakyReLU,inplace=True,"(1, 64, 256, 256)",0.304ms,0.082ms
LeakyReLU,inplace=True,"(1, 128, 256, 256)",0.418ms,0.169ms
LeakyReLU,inplace=True,"(1, 1, 640, 640)",0.241ms,0.003ms
LeakyReLU,inplace=True,"(1, 8, 640, 640)",0.298ms,0.063ms
LeakyReLU,inplace=True,"(1, 32, 640, 640)",0.544ms,0.268ms
LeakyReLU,inplace=True,"(1, 64, 640, 640)",0.815ms,0.541ms
LeakyReLU,inplace=True,"(1, 128, 640, 640)",1.361ms,1.087ms
LeakyReLU,inplace=True,"(8, 1, 96, 96)",0.242ms,0.002ms
LeakyReLU,inplace=True,"(8, 8, 96, 96)",0.264ms,0.004ms
LeakyReLU,inplace=True,"(8, 32, 96, 96)",0.314ms,0.044ms
LeakyReLU,inplace=True,"(8, 64, 96, 96)",0.345ms,0.093ms
LeakyReLU,inplace=True,"(8, 128, 96, 96)",0.467ms,0.191ms
LeakyReLU,inplace=True,"(8, 1, 256, 256)",0.271ms,0.004ms
LeakyReLU,inplace=True,"(8, 8, 256, 256)",0.318ms,0.082ms
LeakyReLU,inplace=True,"(8, 32, 256, 256)",0.618ms,0.344ms
LeakyReLU,inplace=True,"(8, 64, 256, 256)",0.974ms,0.696ms
LeakyReLU,inplace=True,"(8, 128, 256, 256)",1.669ms,1.394ms
LeakyReLU,inplace=True,"(8, 1, 640, 640)",0.312ms,0.063ms
LeakyReLU,inplace=True,"(8, 8, 640, 640)",0.812ms,0.536ms
LeakyReLU,inplace=True,"(8, 32, 640, 640)",2.418ms,2.143ms
LeakyReLU,inplace=True,"(8, 64, 640, 640)",4.535ms,4.285ms
LeakyReLU,inplace=True,"(8, 128, 640, 640)",8.923ms,8.571ms
LeakyReLU,inplace=True,"(32, 1, 96, 96)",0.264ms,0.003ms
LeakyReLU,inplace=True,"(32, 8, 96, 96)",0.301ms,0.044ms
LeakyReLU,inplace=True,"(32, 32, 96, 96)",0.467ms,0.192ms
LeakyReLU,inplace=True,"(32, 64, 96, 96)",0.666ms,0.388ms
LeakyReLU,inplace=True,"(32, 128, 96, 96)",1.055ms,0.781ms
LeakyReLU,inplace=True,"(32, 1, 256, 256)",0.29ms,0.039ms
LeakyReLU,inplace=True,"(32, 8, 256, 256)",0.619ms,0.344ms
LeakyReLU,inplace=True,"(32, 32, 256, 256)",1.664ms,1.391ms
LeakyReLU,inplace=True,"(32, 64, 256, 256)",3.060ms,2.786ms
LeakyReLU,inplace=True,"(32, 128, 256, 256)",5.802ms,5.522ms
LeakyReLU,inplace=True,"(32, 1, 640, 640)",0.54ms,0.265ms
LeakyReLU,inplace=True,"(32, 8, 640, 640)",2.436ms,2.158ms
LeakyReLU,inplace=True,"(32, 32, 640, 640)",8.834ms,8.573ms
LeakyReLU,inplace=True,"(32, 64, 640, 640)",17.814ms,17.475ms
LeakyReLU,inplace=True,"(32, 128, 640, 640)",35.291ms,34.944ms
SiLU,inplace=True,"(1, 1, 96, 96)",0.306ms,0.002ms
SiLU,inplace=True,"(1, 8, 96, 96)",0.249ms,0.002ms
SiLU,inplace=True,"(1, 32, 96, 96)",0.261ms,0.003ms
SiLU,inplace=True,"(1, 64, 96, 96)",0.262ms,0.005ms
SiLU,inplace=True,"(1, 128, 96, 96)",0.287ms,0.018ms
SiLU,inplace=True,"(1, 1, 256, 256)",0.239ms,0.002ms
SiLU,inplace=True,"(1, 8, 256, 256)",0.262ms,0.004ms
SiLU,inplace=True,"(1, 32, 256, 256)",0.307ms,0.039ms
SiLU,inplace=True,"(1, 64, 256, 256)",0.328ms,0.082ms
SiLU,inplace=True,"(1, 128, 256, 256)",0.424ms,0.17ms
SiLU,inplace=True,"(1, 1, 640, 640)",0.236ms,0.004ms
SiLU,inplace=True,"(1, 8, 640, 640)",0.297ms,0.064ms
SiLU,inplace=True,"(1, 32, 640, 640)",0.547ms,0.268ms
SiLU,inplace=True,"(1, 64, 640, 640)",0.813ms,0.541ms
SiLU,inplace=True,"(1, 128, 640, 640)",1.360ms,1.087ms
SiLU,inplace=True,"(8, 1, 96, 96)",0.242ms,0.002ms
SiLU,inplace=True,"(8, 8, 96, 96)",0.265ms,0.005ms
SiLU,inplace=True,"(8, 32, 96, 96)",0.314ms,0.044ms
SiLU,inplace=True,"(8, 64, 96, 96)",0.34ms,0.094ms
SiLU,inplace=True,"(8, 128, 96, 96)",0.465ms,0.191ms
SiLU,inplace=True,"(8, 1, 256, 256)",0.279ms,0.004ms
SiLU,inplace=True,"(8, 8, 256, 256)",0.327ms,0.083ms
SiLU,inplace=True,"(8, 32, 256, 256)",0.617ms,0.344ms
SiLU,inplace=True,"(8, 64, 256, 256)",0.961ms,0.686ms
SiLU,inplace=True,"(8, 128, 256, 256)",1.669ms,1.393ms
SiLU,inplace=True,"(8, 1, 640, 640)",0.305ms,0.063ms
SiLU,inplace=True,"(8, 8, 640, 640)",0.814ms,0.539ms
SiLU,inplace=True,"(8, 32, 640, 640)",2.414ms,2.138ms
SiLU,inplace=True,"(8, 64, 640, 640)",4.557ms,4.282ms
SiLU,inplace=True,"(8, 128, 640, 640)",8.923ms,8.572ms
SiLU,inplace=True,"(32, 1, 96, 96)",0.259ms,0.004ms
SiLU,inplace=True,"(32, 8, 96, 96)",0.298ms,0.044ms
SiLU,inplace=True,"(32, 32, 96, 96)",0.463ms,0.189ms
SiLU,inplace=True,"(32, 64, 96, 96)",0.655ms,0.382ms
SiLU,inplace=True,"(32, 128, 96, 96)",1.013ms,0.769ms
SiLU,inplace=True,"(32, 1, 256, 256)",0.263ms,0.038ms
SiLU,inplace=True,"(32, 8, 256, 256)",0.581ms,0.34ms
SiLU,inplace=True,"(32, 32, 256, 256)",1.647ms,1.372ms
SiLU,inplace=True,"(32, 64, 256, 256)",3.001ms,2.750ms
SiLU,inplace=True,"(32, 128, 256, 256)",5.761ms,5.483ms
SiLU,inplace=True,"(32, 1, 640, 640)",0.537ms,0.264ms
SiLU,inplace=True,"(32, 8, 640, 640)",2.447ms,2.175ms
SiLU,inplace=True,"(32, 32, 640, 640)",9.238ms,8.956ms
SiLU,inplace=True,"(32, 64, 640, 640)",17.790ms,17.463ms
SiLU,inplace=True,"(32, 128, 640, 640)",35.272ms,34.929ms
MaxPool2d,"ceil_mode=True,kernel_size=3,stride=1","(1, 1, 96, 96)",0.288ms,0.003ms
MaxPool2d,"ceil_mode=True,kernel_size=3,stride=1","(1, 8, 96, 96)",0.251ms,0.005ms
MaxPool2d,"ceil_mode=True,kernel_size=3,stride=1","(1, 32, 96, 96)",0.264ms,0.012ms
MaxPool2d,"ceil_mode=True,kernel_size=3,stride=1","(1, 64, 96, 96)",0.271ms,0.026ms
MaxPool2d,"ceil_mode=True,kernel_size=3,stride=1","(1, 128, 96, 96)",0.315ms,0.052ms
MaxPool2d,"ceil_mode=True,kernel_size=3,stride=1","(1, 1, 256, 256)",0.247ms,0.004ms
MaxPool2d,"ceil_mode=True,kernel_size=3,stride=1","(1, 8, 256, 256)",0.269ms,0.025ms
MaxPool2d,"ceil_mode=True,kernel_size=3,stride=1","(1, 32, 256, 256)",0.366ms,0.094ms
MaxPool2d,"ceil_mode=True,kernel_size=3,stride=1","(1, 64, 256, 256)",0.435ms,0.186ms
MaxPool2d,"ceil_mode=True,kernel_size=3,stride=1","(1, 128, 256, 256)",0.623ms,0.369ms
MaxPool2d,"ceil_mode=True,kernel_size=3,stride=1","(1, 1, 640, 640)",0.244ms,0.019ms
MaxPool2d,"ceil_mode=True,kernel_size=3,stride=1","(1, 8, 640, 640)",0.361ms,0.147ms
MaxPool2d,"ceil_mode=True,kernel_size=3,stride=1","(1, 32, 640, 640)",0.859ms,0.58ms
MaxPool2d,"ceil_mode=True,kernel_size=3,stride=1","(1, 64, 640, 640)",1.439ms,1.158ms
MaxPool2d,"ceil_mode=True,kernel_size=3,stride=1","(1, 128, 640, 640)",2.561ms,2.310ms
MaxPool2d,"ceil_mode=True,kernel_size=3,stride=1","(8, 1, 96, 96)",0.281ms,0.005ms
MaxPool2d,"ceil_mode=True,kernel_size=3,stride=1","(8, 8, 96, 96)",0.284ms,0.027ms
MaxPool2d,"ceil_mode=True,kernel_size=3,stride=1","(8, 32, 96, 96)",0.374ms,0.102ms
MaxPool2d,"ceil_mode=True,kernel_size=3,stride=1","(8, 64, 96, 96)",0.433ms,0.2ms
MaxPool2d,"ceil_mode=True,kernel_size=3,stride=1","(8, 128, 96, 96)",0.657ms,0.405ms
MaxPool2d,"ceil_mode=True,kernel_size=3,stride=1","(8, 1, 256, 256)",0.255ms,0.025ms
MaxPool2d,"ceil_mode=True,kernel_size=3,stride=1","(8, 8, 256, 256)",0.42ms,0.185ms
MaxPool2d,"ceil_mode=True,kernel_size=3,stride=1","(8, 32, 256, 256)",0.981ms,0.733ms
MaxPool2d,"ceil_mode=True,kernel_size=3,stride=1","(8, 64, 256, 256)",1.755ms,1.474ms
MaxPool2d,"ceil_mode=True,kernel_size=3,stride=1","(8, 128, 256, 256)",3.219ms,2.940ms
MaxPool2d,"ceil_mode=True,kernel_size=3,stride=1","(8, 1, 640, 640)",0.389ms,0.147ms
MaxPool2d,"ceil_mode=True,kernel_size=3,stride=1","(8, 8, 640, 640)",1.415ms,1.158ms
MaxPool2d,"ceil_mode=True,kernel_size=3,stride=1","(8, 32, 640, 640)",5.889ms,5.637ms
MaxPool2d,"ceil_mode=True,kernel_size=3,stride=1","(8, 64, 640, 640)",11.514ms,11.260ms
MaxPool2d,"ceil_mode=True,kernel_size=3,stride=1","(8, 128, 640, 640)",18.839ms,18.499ms
MaxPool2d,"ceil_mode=True,kernel_size=3,stride=2","(1, 1, 96, 96)",0.257ms,0.003ms
MaxPool2d,"ceil_mode=True,kernel_size=3,stride=2","(1, 8, 96, 96)",0.247ms,0.003ms
MaxPool2d,"ceil_mode=True,kernel_size=3,stride=2","(1, 32, 96, 96)",0.263ms,0.005ms
MaxPool2d,"ceil_mode=True,kernel_size=3,stride=2","(1, 64, 96, 96)",0.273ms,0.009ms
MaxPool2d,"ceil_mode=True,kernel_size=3,stride=2","(1, 128, 96, 96)",0.313ms,0.029ms
MaxPool2d,"ceil_mode=True,kernel_size=3,stride=2","(1, 1, 256, 256)",0.248ms,0.003ms
MaxPool2d,"ceil_mode=True,kernel_size=3,stride=2","(1, 8, 256, 256)",0.269ms,0.007ms
MaxPool2d,"ceil_mode=True,kernel_size=3,stride=2","(1, 32, 256, 256)",0.311ms,0.037ms
MaxPool2d,"ceil_mode=True,kernel_size=3,stride=2","(1, 64, 256, 256)",0.295ms,0.074ms
MaxPool2d,"ceil_mode=True,kernel_size=3,stride=2","(1, 128, 256, 256)",0.403ms,0.149ms
MaxPool2d,"ceil_mode=True,kernel_size=3,stride=2","(1, 1, 640, 640)",0.249ms,0.006ms
MaxPool2d,"ceil_mode=True,kernel_size=3,stride=2","(1, 8, 640, 640)",0.285ms,0.059ms
MaxPool2d,"ceil_mode=True,kernel_size=3,stride=2","(1, 32, 640, 640)",0.513ms,0.234ms
MaxPool2d,"ceil_mode=True,kernel_size=3,stride=2","(1, 64, 640, 640)",0.753ms,0.47ms
MaxPool2d,"ceil_mode=True,kernel_size=3,stride=2","(1, 128, 640, 640)",1.222ms,0.942ms
MaxPool2d,"ceil_mode=True,kernel_size=3,stride=2","(8, 1, 96, 96)",0.286ms,0.003ms
MaxPool2d,"ceil_mode=True,kernel_size=3,stride=2","(8, 8, 96, 96)",0.276ms,0.008ms
MaxPool2d,"ceil_mode=True,kernel_size=3,stride=2","(8, 32, 96, 96)",0.315ms,0.041ms
MaxPool2d,"ceil_mode=True,kernel_size=3,stride=2","(8, 64, 96, 96)",0.31ms,0.083ms
MaxPool2d,"ceil_mode=True,kernel_size=3,stride=2","(8, 128, 96, 96)",0.447ms,0.168ms
MaxPool2d,"ceil_mode=True,kernel_size=3,stride=2","(8, 1, 256, 256)",0.28ms,0.007ms
MaxPool2d,"ceil_mode=True,kernel_size=3,stride=2","(8, 8, 256, 256)",0.326ms,0.073ms
MaxPool2d,"ceil_mode=True,kernel_size=3,stride=2","(8, 32, 256, 256)",0.578ms,0.3ms
MaxPool2d,"ceil_mode=True,kernel_size=3,stride=2","(8, 64, 256, 256)",0.878ms,0.6ms
MaxPool2d,"ceil_mode=True,kernel_size=3,stride=2","(8, 128, 256, 256)",1.483ms,1.202ms
MaxPool2d,"ceil_mode=True,kernel_size=3,stride=2","(8, 1, 640, 640)",0.307ms,0.059ms
MaxPool2d,"ceil_mode=True,kernel_size=3,stride=2","(8, 8, 640, 640)",0.767ms,0.472ms
MaxPool2d,"ceil_mode=True,kernel_size=3,stride=2","(8, 32, 640, 640)",2.188ms,1.908ms
MaxPool2d,"ceil_mode=True,kernel_size=3,stride=2","(8, 64, 640, 640)",4.089ms,3.805ms
MaxPool2d,"ceil_mode=True,kernel_size=3,stride=2","(8, 128, 640, 640)",7.807ms,7.523ms
MaxPool2d,"ceil_mode=True,kernel_size=5,stride=1","(1, 1, 96, 96)",0.251ms,0.004ms
MaxPool2d,"ceil_mode=True,kernel_size=5,stride=1","(1, 8, 96, 96)",0.249ms,0.007ms
MaxPool2d,"ceil_mode=True,kernel_size=5,stride=1","(1, 32, 96, 96)",0.266ms,0.02ms
MaxPool2d,"ceil_mode=True,kernel_size=5,stride=1","(1, 64, 96, 96)",0.316ms,0.041ms
MaxPool2d,"ceil_mode=True,kernel_size=5,stride=1","(1, 128, 96, 96)",0.344ms,0.082ms
MaxPool2d,"ceil_mode=True,kernel_size=5,stride=1","(1, 1, 256, 256)",0.246ms,0.007ms
MaxPool2d,"ceil_mode=True,kernel_size=5,stride=1","(1, 8, 256, 256)",0.263ms,0.04ms
MaxPool2d,"ceil_mode=True,kernel_size=5,stride=1","(1, 32, 256, 256)",0.485ms,0.154ms
MaxPool2d,"ceil_mode=True,kernel_size=5,stride=1","(1, 64, 256, 256)",0.558ms,0.305ms
MaxPool2d,"ceil_mode=True,kernel_size=5,stride=1","(1, 128, 256, 256)",0.859ms,0.606ms
MaxPool2d,"ceil_mode=True,kernel_size=5,stride=1","(1, 1, 640, 640)",0.244ms,0.032ms
MaxPool2d,"ceil_mode=True,kernel_size=5,stride=1","(1, 8, 640, 640)",0.464ms,0.245ms
MaxPool2d,"ceil_mode=True,kernel_size=5,stride=1","(1, 32, 640, 640)",1.247ms,0.968ms
MaxPool2d,"ceil_mode=True,kernel_size=5,stride=1","(1, 64, 640, 640)",2.186ms,1.933ms
MaxPool2d,"ceil_mode=True,kernel_size=5,stride=1","(1, 128, 640, 640)",4.146ms,3.864ms
MaxPool2d,"ceil_mode=True,kernel_size=5,stride=1","(8, 1, 96, 96)",0.252ms,0.007ms
MaxPool2d,"ceil_mode=True,kernel_size=5,stride=1","(8, 8, 96, 96)",0.248ms,0.042ms
MaxPool2d,"ceil_mode=True,kernel_size=5,stride=1","(8, 32, 96, 96)",0.409ms,0.161ms
MaxPool2d,"ceil_mode=True,kernel_size=5,stride=1","(8, 64, 96, 96)",0.557ms,0.319ms
MaxPool2d,"ceil_mode=True,kernel_size=5,stride=1","(8, 128, 96, 96)",0.89ms,0.634ms
MaxPool2d,"ceil_mode=True,kernel_size=5,stride=1","(8, 1, 256, 256)",0.284ms,0.04ms
MaxPool2d,"ceil_mode=True,kernel_size=5,stride=1","(8, 8, 256, 256)",0.568ms,0.304ms
MaxPool2d,"ceil_mode=True,kernel_size=5,stride=1","(8, 32, 256, 256)",1.459ms,1.208ms
MaxPool2d,"ceil_mode=True,kernel_size=5,stride=1","(8, 64, 256, 256)",2.750ms,2.413ms
MaxPool2d,"ceil_mode=True,kernel_size=5,stride=1","(8, 128, 256, 256)",5.077ms,4.822ms
MaxPool2d,"ceil_mode=True,kernel_size=5,stride=1","(8, 1, 640, 640)",0.467ms,0.245ms
MaxPool2d,"ceil_mode=True,kernel_size=5,stride=1","(8, 8, 640, 640)",2.185ms,1.933ms
MaxPool2d,"ceil_mode=True,kernel_size=5,stride=1","(8, 32, 640, 640)",9.787ms,9.508ms
MaxPool2d,"ceil_mode=True,kernel_size=5,stride=1","(8, 64, 640, 640)",19.288ms,19.010ms
MaxPool2d,"ceil_mode=True,kernel_size=5,stride=1","(8, 128, 640, 640)",31.164ms,30.882ms
MaxPool2d,"ceil_mode=True,kernel_size=5,stride=2","(1, 1, 96, 96)",0.254ms,0.004ms
MaxPool2d,"ceil_mode=True,kernel_size=5,stride=2","(1, 8, 96, 96)",0.245ms,0.004ms
MaxPool2d,"ceil_mode=True,kernel_size=5,stride=2","(1, 32, 96, 96)",0.265ms,0.007ms
MaxPool2d,"ceil_mode=True,kernel_size=5,stride=2","(1, 64, 96, 96)",0.296ms,0.014ms
MaxPool2d,"ceil_mode=True,kernel_size=5,stride=2","(1, 128, 96, 96)",0.297ms,0.028ms
MaxPool2d,"ceil_mode=True,kernel_size=5,stride=2","(1, 1, 256, 256)",0.246ms,0.004ms
MaxPool2d,"ceil_mode=True,kernel_size=5,stride=2","(1, 8, 256, 256)",0.268ms,0.012ms
MaxPool2d,"ceil_mode=True,kernel_size=5,stride=2","(1, 32, 256, 256)",0.352ms,0.047ms
MaxPool2d,"ceil_mode=True,kernel_size=5,stride=2","(1, 64, 256, 256)",0.336ms,0.091ms
MaxPool2d,"ceil_mode=True,kernel_size=5,stride=2","(1, 128, 256, 256)",0.457ms,0.177ms
MaxPool2d,"ceil_mode=True,kernel_size=5,stride=2","(1, 1, 640, 640)",0.271ms,0.01ms
MaxPool2d,"ceil_mode=True,kernel_size=5,stride=2","(1, 8, 640, 640)",0.296ms,0.073ms
MaxPool2d,"ceil_mode=True,kernel_size=5,stride=2","(1, 32, 640, 640)",0.536ms,0.284ms
MaxPool2d,"ceil_mode=True,kernel_size=5,stride=2","(1, 64, 640, 640)",0.857ms,0.563ms
MaxPool2d,"ceil_mode=True,kernel_size=5,stride=2","(1, 128, 640, 640)",1.372ms,1.123ms
MaxPool2d,"ceil_mode=True,kernel_size=5,stride=2","(8, 1, 96, 96)",0.227ms,0.004ms
MaxPool2d,"ceil_mode=True,kernel_size=5,stride=2","(8, 8, 96, 96)",0.208ms,0.012ms
MaxPool2d,"ceil_mode=True,kernel_size=5,stride=2","(8, 32, 96, 96)",0.298ms,0.051ms
MaxPool2d,"ceil_mode=True,kernel_size=5,stride=2","(8, 64, 96, 96)",0.324ms,0.099ms
MaxPool2d,"ceil_mode=True,kernel_size=5,stride=2","(8, 128, 96, 96)",0.446ms,0.195ms
MaxPool2d,"ceil_mode=True,kernel_size=5,stride=2","(8, 1, 256, 256)",0.257ms,0.011ms
MaxPool2d,"ceil_mode=True,kernel_size=5,stride=2","(8, 8, 256, 256)",0.312ms,0.09ms
MaxPool2d,"ceil_mode=True,kernel_size=5,stride=2","(8, 32, 256, 256)",0.628ms,0.351ms
MaxPool2d,"ceil_mode=True,kernel_size=5,stride=2","(8, 64, 256, 256)",0.962ms,0.698ms
MaxPool2d,"ceil_mode=True,kernel_size=5,stride=2","(8, 128, 256, 256)",1.668ms,1.393ms
MaxPool2d,"ceil_mode=True,kernel_size=5,stride=2","(8, 1, 640, 640)",0.327ms,0.073ms
MaxPool2d,"ceil_mode=True,kernel_size=5,stride=2","(8, 8, 640, 640)",0.862ms,0.564ms
MaxPool2d,"ceil_mode=True,kernel_size=5,stride=2","(8, 32, 640, 640)",2.989ms,2.710ms
MaxPool2d,"ceil_mode=True,kernel_size=5,stride=2","(8, 64, 640, 640)",5.693ms,5.411ms
MaxPool2d,"ceil_mode=True,kernel_size=5,stride=2","(8, 128, 640, 640)",9.296ms,8.952ms
cat,"(tensors=[t1,t2],dim=0)","[4, 8]x2",0.271ms,0.002ms
cat,"(tensors=[t1,t2],dim=0)","[16, 4, 32]x2",0.243ms,0.002ms
cat,"(tensors=[t1,t2],dim=0)","[1, 128, 4, 32]x2",0.238ms,0.002ms
cat,"(tensors=[t1,t2,t3],dim=0)","[32, 4]x3",0.235ms,0.002ms
cat,"(tensors=[t1,t2,t3],dim=0)","[8, 4, 32]x3",0.239ms,0.002ms
